date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:15:36	130/130	---MC-	200	added ('OK')	text/plain	date:Tue,%2019%20Sep%202023%2018:15:36%20GMT	https://template.makedreamwebsite.com/robots.txt		(from )
00:15:37	98073/98073	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Sep%202023%2018:15:36%20GMT	https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/advanced-slider-with-card-carousel/index.html	(from )
00:15:39	40031/40031	---M--	200	added ('OK')	text/css	date:Sat,%2025%20Jun%202022%2019:39:11%20GMT	https://template.makedreamwebsite.com/wp-content/themes/astra/assets/css/minified/main.min.css?ver=3.8.4	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-content/themes/astra/assets/css/minified/main.min688f.css	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:15:41	104484/104484	---M--	200	added ('OK')	text/css	date:Wed,%2009%20Aug%202023%2007:38:01%20GMT	https://template.makedreamwebsite.com/wp-includes/css/dist/block-library/style.min.css?ver=6.3.1	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-includes/css/dist/block-library/style.min9b30.css	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:15:41	19488/19488	---M--	200	added ('OK')	text/css	date:Sun,%2020%20Aug%202023%2014:23:05%20GMT	https://template.makedreamwebsite.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.21.0	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mind618.css	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:15:44	12876/12876	---M--	200	added ('OK')	text/css	date:Sun,%2020%20Aug%202023%2014:23:05%20GMT	https://template.makedreamwebsite.com/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:15:45	111852/111852	---M--	200	added ('OK')	text/css	date:Sun,%2020%20Aug%202023%2014:23:05%20GMT	https://template.makedreamwebsite.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.15.3	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-content/plugins/elementor/assets/css/frontend-lite.minb73d.css	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:15:45	1160/1160	---M--	200	added ('OK')	text/css	date:Sun,%2020%20Aug%202023%2014:23:34%20GMT	https://template.makedreamwebsite.com/wp-content/uploads/elementor/css/post-5.css?ver=1692541414	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-content/uploads/elementor/css/post-56c06.css	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:15:47	12014/12014	---M--	200	added ('OK')	text/css	date:Wed,%2007%20Dec%202022%2023:33:12%20GMT	https://template.makedreamwebsite.com/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.8.2	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min3fd0.css	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:15:48	39603/39603	---M--	200	added ('OK')	text/css	date:Sun,%2020%20Aug%202023%2014:23:49%20GMT	https://template.makedreamwebsite.com/wp-content/uploads/elementor/css/global.css?ver=1692541429	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-content/uploads/elementor/css/global335c.css	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
